,UsingWaypoints,Interval_s,Altitude_m,Mean,SD,Median
1,TRUE,10,10,1.06e-01,9.27e-02,1e-01
2,FALSE,10,10,1.17e-01,9.38e-02,1e-01
3,TRUE,10,50,8.33e-01,1.2e-01,8.46e-01
4,FALSE,10,50,7.69e-01,1.25e-01,7.87e-01
5,TRUE,10,75,8.78e-01,1.34e-01,9.3e-01
6,FALSE,10,75,8.17e-01,1.47e-01,8.31e-01
7,TRUE,5,10,1.43e-01,1.28e-01,1.11e-01
8,FALSE,5,10,1.63e-01,1.33e-01,1.4e-01
9,TRUE,5,50,8.66e-01,1.11e-01,8.95e-01
10,FALSE,5,50,8.54e-01,1.1e-01,8.69e-01
11,TRUE,5,75,8.81e-01,1.3e-01,9.25e-01
12,FALSE,5,75,8.48e-01,1.36e-01,8.53e-01
